GEOID,unemployment_2019,unemployment_2020,delta_unemployment,state_name,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
01029,0.031475607480659654,0.04721414833774384,0.015738540857084184,Alabama,Cleburne County,6484,675,7227,5809,0.8971910889719109,0.09339975093399751,0.8037913380379134
01031,0.02911744320969387,0.04428228632850644,0.015164843118812572,Alabama,Coffee County,16899,5076,22275,11823,0.7586531986531987,0.22787878787878788,0.5307744107744108
01033,0.03744480195664508,0.06885923135374637,0.03141442939710129,Alabama,Colbert County,19203,8343,27886,10860,0.688625116545937,0.2991823854263788,0.38944273111955824
01035,0.03961834025811671,0.07253940825898368,0.03292106800086697,Alabama,Conecuh County,3442,2966,6441,476,0.5343890700201832,0.46048750194069243,0.07390156807949078
01037,0.029589593257603523,0.05407967942181434,0.024490086164210816,Alabama,Coosa County,3631,1796,5479,1835,0.6627121737543348,0.3277970432560686,0.33491513049826616
01039,0.03411468454031953,0.04892449551895138,0.014809810978631849,Alabama,Covington County,14586,2721,17430,11865,0.8368330464716007,0.15611015490533564,0.6807228915662651
01041,0.0282313581676639,0.05668139958476098,0.02845004141709708,Alabama,Crenshaw County,4864,1700,6617,3164,0.7350763185733716,0.2569140093698051,0.47816230920356656
01043,0.025813532751553105,0.04324922010981526,0.017435687358262154,Alabama,Cullman County,36880,4478,41851,32402,0.8812214761893383,0.10699863802537574,0.7742228381639626
01045,0.03096286466815449,0.049293357999077005,0.018330493330922515,Alabama,Dale County,14303,5170,19738,9133,0.724642820954504,0.2619313000303982,0.46271152092410583
01047,0.054837046730454385,0.10599593827039824,0.05115889153994386,Alabama,Dallas County,5524,12230,17864,-6706,0.30922525750111957,0.6846171070309002,-0.3753918495297806
01049,0.02801751900038645,0.04491105808552237,0.01689353908513592,Alabama,DeKalb County,24767,4281,29356,20486,0.8436776127537812,0.14583049461779535,0.6978471181359858
01051,0.02607025125226828,0.05055451303756261,0.02448426178529433,Alabama,Elmore County,30164,10367,41030,19797,0.7351693882524982,0.2526687789422374,0.48250060931026084
